,Name,Season,Matches,W,D,L,Goals,Points,PPM
0,Pep Guardiola,2008/09,62,42,13,7,158:55,139,2.24
1,Pep Guardiola,2009/10,59,45,10,4,138:39,145,2.46
2,Pep Guardiola,2010/11,62,45,11,6,152:39,146,2.35
3,Pep Guardiola,2011/12,64,47,13,4,190:48,154,2.41
4,Pep Guardiola,2013/14,56,45,5,6,155:48,140,2.50
5,Pep Guardiola,2014/15,52,37,5,10,128:41,116,2.23
6,Pep Guardiola,2015/16,53,42,6,5,131:39,132,2.49
7,Pep Guardiola,2016/17,56,33,13,10,122:60,112,2.00
8,Pep Guardiola,2017/18,57,46,4,7,151:50,142,2.49
9,Pep Guardiola,2018/19,61,52,3,6,176:43,159,2.61
10,Pep Guardiola,2019/20,59,42,5,12,154:57,131,2.22
11,Pep Guardiola,2020/21,61,47,6,8,131:42,147,2.41
12,Pep Guardiola,2021/22,58,41,8,9,153:55,131,2.26
13,Pep Guardiola,2022/23,61,44,10,7,151:46,142,2.33
14,Pep Guardiola,2023/24,59,44,8,7,158:66,140,2.37
15,Sir Alex Ferguson,1992/93,50,27,14,9,76:39,95,1.90
16,Sir Alex Ferguson,1993/94,63,42,15,6,130:60,141,2.24
17,Sir Alex Ferguson,1994/95,59,36,13,10,110:48,121,2.05
18,Sir Alex Ferguson,1995/96,49,32,10,7,92:46,106,2.16
19,Sir Alex Ferguson,1996/97,54,28,14,12,95:54,98,1.81
20,Sir Alex Ferguson,1997/98,52,31,11,10,106:45,104,2.00
21,Sir Alex Ferguson,1998/99,63,36,22,5,128:63,130,2.06
22,Sir Alex Ferguson,1999/00,59,38,11,10,124:66,125,2.12
23,Sir Alex Ferguson,2000/01,57,32,12,13,107:50,108,1.89
24,Sir Alex Ferguson,2001/02,58,33,11,14,122:69,110,1.90
25,Sir Alex Ferguson,2002/03,63,42,10,11,130:61,136,2.16
26,Sir Alex Ferguson,2003/04,55,36,7,12,102:52,115,2.09
27,Sir Alex Ferguson,2004/05,61,35,15,11,104:49,120,1.97
28,Sir Alex Ferguson,2005/06,56,35,13,8,106:44,118,2.11
29,Sir Alex Ferguson,2006/07,60,42,7,11,123:51,133,2.22
30,Sir Alex Ferguson,2007/08,57,41,9,7,118:37,132,2.32
31,Sir Alex Ferguson,2008/09,66,46,12,8,128:52,150,2.27
32,Sir Alex Ferguson,2009/10,56,39,5,12,121:51,122,2.18
